tripduration,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
542,Porter Square Station,42.387995,-71.119084,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
438,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
254,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Central Square at Mass Ave / Essex St,42.36507,-71.1031
432,Porter Square Station,42.387995,-71.119084,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
735,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
311,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
1259,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516
338,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
429,Binney St / Sixth St,42.366095,-71.086388,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
289,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
276,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,MIT at Mass Ave / Amherst St,42.3581,-71.093198
1476,Porter Square Station,42.387995,-71.119084,Boston Public Library - 700 Boylston St.,42.349673,-71.077303
1095,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629
446,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
426,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
1274,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Christian Science Plaza,42.343864,-71.085918
539,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
793,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Porter Square Station,42.387995,-71.119084
479,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Kendall Street,42.363560158429900,-71.08216792345050
365,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
1747,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886
645,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
686,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,Cambridge St. at Joy St.,42.361174,-71.065142
331,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
436,Danehy Park,42.388966,-71.132788,Porter Square Station,42.387995,-71.119084
415,Ames St at Main St,42.3625,-71.08822,Central Square at Mass Ave / Essex St,42.36507,-71.1031
276,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
306,Ames St at Main St,42.3625,-71.08822,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
271,Ames St at Main St,42.3625,-71.08822,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
472,Binney St / Sixth St,42.366095,-71.086388,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
333,Binney St / Sixth St,42.366095,-71.086388,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
233,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Central Square at Mass Ave / Essex St,42.36507,-71.1031
603,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Central Square at Mass Ave / Essex St,42.36507,-71.1031
515,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
504,EF - North Point Park,42.369885,-71.069957,Binney St / Sixth St,42.366095,-71.086388
472,EF - North Point Park,42.369885,-71.069957,Binney St / Sixth St,42.366095,-71.086388
823,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
189,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
398,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Ames St at Main St,42.3625,-71.08822
196,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
761,Porter Square Station,42.387995,-71.119084,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
441,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
484,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473
470,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473
1453,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,EF - North Point Park,42.369885,-71.069957
1454,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768080,-71.11714124679570
1405,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768080,-71.11714124679570
