age,zipcode,income
23,02127,33928
67,02131,62170
66,02132,34350
54,02110,143486
38,02128,73722
73,02119,50766
35,02206,82664
56,02108,56398
35,02119,41349
27,02201,45000
44,02123,95559
71,02130,77198
48,02127,65214
26,02117,52809
37,02109,113553
31,02206,57693
49,02123,53681
31,02134,104255
47,02199,75123
65,02204,82111
61,02123,139315
37,02196,52910
48,02108,61720
56,02131,72355
42,02199,86042
22,02204,31506
29,02127,56278
35,02117,77211
64,02196,105629
73,02108,84753
73,02132,55483
47,02114,105238
61,02123,64572
44,02124,61231
58,02132,70419
47,02127,46173
42,02123,69421
52,02114,103250
39,02121,93626
24,02124,36247
52,02110,58621
22,02117,30284
47,02119,80175
29,02114,40827
32,02135,86322
25,02124,43201
35,02120,60871
60,02132,54921
29,02124,76432
54,02119,142113
30,02123,78210
58,02112,61420
75,02129,69874
19,02114,26341
45,02121,77219
20,02135,25745
36,02134,79612
43,02199,95622
40,02201,89471
43,02122,110742
29,02123,98213
28,02131,41258
55,02134,58621
23,02132,32145
59,02127,127468
24,02115,39842
63,02112,57410
30,02196,58721
38,02129,73845
70,02115,62178
53,02204,141325
59,02127,74562
54,02129,112489
63,02117,87531
39,02120,79462
45,02122,89561
35,02132,107254
29,02123,90312
32,02135,41258
44,02132,76214
55,02136,132468
42,02129,91524
43,02108,57642
33,02134,67421
51,02125,54910
68,02136,62130
26,02123,38745
57,02121,72154
31,02124,42358
37,02132,77319
62,02120,134512
33,02123,65472
46,02128,102641
37,02113,91236
43,02127,76231
41,02117,88542
29,02113,47582
52,02199,92451
34,02108,96321
38,02110,71245
55,02114,144231
44,02117,78562
21,02121,28741
63,02136,58421
31,02123,59621
48,02204,124563
36,02124,75268
52,02129,92148
41,02123,67523
29,02108,43125
63,02163,84521
52,02126,56321
43,02120,92175
39,02215,120358
45,02123,105321
30,02119,44526
42,02117,91258
57,02112,136421
41,02119,65321
32,02134,87642
37,02131,76324
51,02109,125632
28,02123,34125
69,02128,75321
44,02137,96321
39,02123,78423
71,02121,67842
33,02128,60125
42,02114,87652
58,02122,75214
36,02109,73128
45,02135,93214
31,02128,41258
47,02119,105321
52,02123,62135
36,02120,69547
58,02117,83215
24,02132,35214
61,02134,127563
31,02112,53216
47,02122,96321
39,02120,85214
73,02113,63214
29,02121,43215
44,02129,102145
38,02128,73215
55,02119,137562
47,02118,92361
63,02136,72154
29,02117,41236
42,02114,87235
54,02130,138562
38,02137,72156
46,02129,125632
35,02132,69854
40,02115,83265
32,02119,65321
45,02112,92361
53,02123,148532
47,02126,96325
33,02113,55321
59,02121,74268
44,02123,90215
32,02117,51236
46,02119,87652
38,02128,80215
52,02125,103652
29,02136,42156
37,02123,76521
48,02127,138265
41,02119,87653
35,02120,62153
43,02126,95682
51,02131,132567
39,02125,71236
44,02109,93265
36,02118,68235
53,02117,145632
31,02108,54231
41,02123,87562
49,02137,107568
37,02131,70236
43,02136,92153
35,02119,65321
55,02122,133562
48,02127,98756
39,02110,79236
52,02123,127563
34,02119,56231
47,02126,108562
41,02135,86321
57,02128,74231
37,02115,69871
45,02123,96325
33,02120,52136
52,02132,103652
42,02118,88632
36,02117,73215
49,02125,112563
38,02134,77632
55,02131,136521
31,02127,45682
43,02123,93215
51,02119,108562
39,02128,77563
46,02135,102536
35,02122,64231
54,02131,129874
42,02119,87562
37,02136,68235
48,02132,104562
33,02127,54236
51,02135,137562
40,02123,84563
45,02128,96325
38,02110,75236
56,02119,142563
47,02125,93265
34,02134,61235
49,02123,108562
39,02131,79235
54,02117,132568
43,02126,89562
37,02113,71236
50,02123,106532
45,02122,92563
35,02127,64231
41,02134,86325
58,02123,146325
47,02119,96321
35,02128,66325
52,02132,115632
43,02120,87562
39,02109,79235
51,02127,121568
36,02123,68235
45,02125,94563
54,02131,134568
37,02119,72156
49,02123,105632
42,02128,86325
56,02134,138562
33,02131,53216
47,02126,97856
37,02123,75632
45,02119,93216
55,02128,136521
41,02123,82156
39,02134,78563
53,02122,128965
46,02120,97865
38,02117,76532
51,02123,115632
43,02134,88652
36,02126,69523
45,02123,93562
57,02119,141253
49,02136,105632
35,02123,65231
44,02119,87562
52,02128,123568
38,02134,75632
47,02123,96582
41,02127,86325
33,02119,52136
52,02131,125632
45,02118,94562
39,02123,77562
54,02115,132568
42,02119,87956
37,02123,72136
48,02134,104562
36,02129,67523
44,02123,93652
56,02127,137562
43,02119,89562
51,02128,126325
39,02123,78623
47,02134,103652
37,02119,73215
45,02123,95632
55,02128,134568
42,02119,84562
38,02123,76235
49,02134,106532
37,02119,71236
46,02128,95632
53,02123,129856
41,02119,82156
39,02131,77562
44,02123,93215
57,02128,143562
48,02119,102536
36,02123,69523
43,02134,88965
51,02119,113652
38,02128,76532
47,02123,99856
35,02119,68235
52,02131,128956
44,02128,93562
39,02123,76532
48,02119,105632
34,02131,62135
53,02123,127856
46,02128,97856
40,02119,81235
49,02123,106523
37,02128,74235
52,02119,127562
43,02123,89562
38,02131,75632
47,02119,98562
35,02128,67523
51,02123,116532
42,02119,87562
39,02128,78235
45,02123,95632
54,02119,136532
47,02128,101532
36,02123,68235
43,02119,87562
55,02131,135632
41,02128,83562
46,02123,96532
38,02119,74235
49,02128,106235
43,02123,89562
37,02119,73215
52,02128,126532
45,02123,94562
39,02131,78235
47,02123,99856
36,02128,69523
51,02119,118965
44,02123,93562
38,02128,77562
46,02123,97856
35,02131,67523
53,02128,129856
47,02123,99856
41,02131,85632
48,02128,105632
37,02123,72563
45,02131,95632
52,02128,125632
43,02123,89562
39,02131,78235
46,02128,97856
35,02123,66532
51,02131,119856
44,02128,93562
38,02123,76532
47,02131,99856
36,02128,69523
52,02123,126532
45,02131,96532
39,02128,78235
48,02123,103562
37,02131,72563
53,02128,127562
46,02123,96532
40,02131,82563
49,02128,105632
38,02123,77562
47,02131,98562
35,02128,67523
51,02123,117562
44,02131,93562
39,02128,78235
46,02123,97856
36,02131,69523
52,02128,124532
45,02123,94562
37,02131,71236
53,02128,128956
41,02123,84562
38,02131,77562
48,02128,103562
36,02123,69523
46,02131,97856
54,02128,132568
43,02123,88965
39,02131,79235
47,02128,99856
37,02123,72563
52,02131,125632
45,02128,93562
40,02123,81235
48,02131,102536
36,02128,68235
54,02123,131568
46,02131,96532
39,02128,78235
51,02123,116532
37,02131,71236
49,02128,104562
44,02123,91562
38,02131,76532
46,02128,97856
35,02123,67523
52,02131,123568
45,02128,93562
39,02123,77562
47,02131,99856
36,02128,68235
53,02123,127562
41,02131,84562
38,02128,77562
49,02123,105632
37,02131,71236
52,02128,121568
44,02123,91562
39,02131,79235
47,02128,98562
36,02123,68235
51,02131,116532
43,02128,89562
38,02123,75632
48,02131,103562
36,02128,67523
45,02123,93562
54,02131,133568
42,02128,86325
39,02123,78235
47,02131,98562
35,02128,66532
53,02123,125632
41,02131,83562
38,02128,77562
46,02123,95632
35,02131,67523
52,02128,121568
44,02123,91562
39,02131,78235
