borough,zipcode,address,landuse,ownertype,lotarea,bldgarea,latitude,longitude
QN,11368,45 AVENUE,11,C,75,0,40.7489577,-73.8536617
SI,10312, THORNYCROFT AVENUE,11,C,7905,0,40.5341000,-74.1493863
SI,10306, GREAT KILLS LANE,11,C,500,0,40.5509409,-74.1119141
BX,10464, EASTCHESTER PLACE,11,X,17000,0,40.8858035,-73.8185259
QN,11368,45 AVENUE,11,C,150,0,40.7488401,-73.8540517
BX,10475, HUTCHINSON AVENUE,11,X,8496,0,40.8805328,-73.8214333
SI,10305, FR CAPODANNO BLVD,9,C,141000,0,40.5722527,-74.0850683
SI,10305, FATHER CAPODANNO BL,9,C,772284,10000,40.5733172,-74.0857212
SI,10305, FR CAPODANNO BLVD,9,C,2200,0,40.5763476,-74.0817221
QN,11370,19 AVENUE,11,C,54270,0,40.7766106,-73.8903424
SI,10301, BANK STREET,11,C,94496,0,40.6489256,-74.0852597
QN,11418,121 STREET,11,X,2750,0,40.6951957,-73.8258316
SI,10306, SOUTH RAILROAD AVE,11,C,430,0,40.5709066,-74.1201508
QN,11370, FLUSHING AVENUE,7,C,15000,15000,40.7734570,-73.8904451
SI,10306,16 TOPPING STREET,11,C,2480,0,40.5630252,-74.1013207
QN,11362,62 AVENUE,11,C,50,0,40.7559133,-73.7294908
QN,11101,46 ROAD,7,X,23944,0,40.7458116,-73.9491249
BK,11207,367 WYONA STREET,9,C,2500,0,40.6697038,-73.8920827
SI,10304, CLOVE ROAD,11,X,5000,0,40.6077968,-74.0900728
BK,11211,66 HOPE STREET,2,X,,3066,40.7128525,-73.9555599
MN,10039, MACOMBS PLACE,10,C,784,0,40.8280999,-73.9351829
MN,10011,156 12 AVENUE,9,X,11250,0,40.7499561,-74.0081278
MN,10035,308 EAST 118 STREET,9,C,4129,0,40.7978345,-73.9362923
BX,10452,1168 OGDEN AVENUE,10,X,2231,0,40.8370344,-73.9267539
BK,11216,340 TOMPKINS AVENUE,9,C,1700,0,40.6859655,-73.9447139
BX,10465, SHORE DRIVE,11,C,18,0,40.8276927,-73.8134450
SI,10312, TYNDALE STREET,11,C,6000,0,40.5292631,-74.1695596
BK,11206,564 WILLOUGHBY AVENUE,2,X,,2003,40.6939153,-73.9467844
BX,10455, ST ANNS AVENUE,7,C,5302,0,40.8157826,-73.9118061
BX,10464, REYNOLDS AVENUE,11,C,1560,0,40.8413910,-73.7876921
QN,11355, SMART STREET,10,X,2500,0,40.7548685,-73.8180272
BK,11206,253 THROOP AVENUE,9,C,1700,0,40.6951981,-73.9430943
QN,11379,71 STREET,7,X,8661,0,40.7193750,-73.8854113
SI,10309, WANIER AVENUE,11,C,3360,0,40.5272598,-74.2387599
BK,11212, VAN SINDEREN AVENUE,7,X,626,0,40.6752859,-73.9035091
BK,11230,EAST 15 STREET,11,C,75,0,40.6120296,-73.9586561
SI,10307, CRAIG AVENUE,11,C,5,0,40.5105424,-74.2484424
QN,11357,147 STREET,11,C,35,0,40.7883548,-73.8183185
BX,10471, POST ROAD,11,C,222,0,40.8987988,-73.8984786
MN,10007,189 BROADWAY,7,X,4621,6565,40.7104260,-74.0098291
BK,11231, HAMILTON AVENUE,11,C,1732,0,40.6850811,-74.0067173
SI,10312, BERTRAM AVENUE,11,C,4000,0,40.5321388,-74.1809023
QN,11434, SMITH STREET,11,C,800,0,40.6836535,-73.7792164
BK,11238,795 FULTON STREET,9,C,2126,0,40.6856158,-73.9721101
QN,11355,45 AVENUE,10,X,2500,0,40.7545278,-73.8178044
BX,10453,2096 MORRIS AVENUE,9,C,6552,0,40.8543672,-73.9042506
SI,10305, SEAVER AVENUE,11,C,6138,0,40.5786156,-74.0880571
QN,11420,133-01 120 AVENUE,7,X,4023,0,40.6753237,-73.8054244
SI,10309, POWERS STREET,9,C,6000,0,40.5129136,-74.2302105
SI,10314, GULF AVENUE,11,C,365190,0,40.6071834,-74.1851249
QN,11360,28 ROAD,11,C,500,0,40.7774166,-73.7703916
MN,10035,EAST 122 STREET,9,C,2002,0,40.8026781,-73.9399683
QN,11101,47 AVENUE,11,X,1980,0,40.7431632,-73.9385820
MN,10002, STANTON STREET,9,C,2533,0,40.7200101,-73.9844587
BX,10456,815 EAGLE AVENUE,9,C,2500,0,40.8207678,-73.9092885
BX,10460,2093 VYSE AVENUE,9,C,3919,0,40.8437948,-73.8809141
QN,11691, MOTT AVENUE,10,X,2080,0,40.6031796,-73.7513281
QN,11420, NORTH CONDUIT AVENUE,7,X,100642,0,40.6666253,-73.8036835
SI,10305, DONGAN HILLS AVENUE,11,C,1890,0,40.5838552,-74.0918298
SI,10305, FREEBORN STREET,11,C,3120,0,40.5784972,-74.0885069
SI,10306, DUGDALE STREET,11,C,4000,0,40.5555882,-74.1197813
BX,10453,EAST 176 STREET,9,C,2713,0,40.8479818,-73.9094899
BK,11238,22 PUTNAM AVENUE,11,C,1083,0,40.6825580,-73.9618357
BX,10455,943 AVENUE ST JOHN,9,C,2685,0,40.8152012,-73.9022152
SI,10303,60 HARBOR ROAD,11,X,2530,0,40.6354808,-74.1605230
BX,10461,1700 MULFORD AVENUE,7,C,7221,0,40.8457638,-73.8349540
BK,11211, FROST STREET,11,C,4,0,40.7177703,-73.9471983
BK,11206,48 VERNON AVENUE,9,C,1800,0,40.6942709,-73.9502100
SI,10306,93 KISSAM AVENUE,11,C,2050,0,40.5548364,-74.1113016
BX,10454, BRUCKNER BOULEVARD,11,C,1,0,40.8039396,-73.9125370
BK,11231, CONOVER STREET,10,X,2500,0,40.6794758,-74.0122185
BK,11237,200 MENAHAN STREET,9,C,2500,0,40.6974826,-73.9173613
BK,11231, HAMILTON AVENUE,9,C,606,0,40.6834040,-74.0057797
QN,11104,43 STREET,7,X,97,0,40.7474277,-73.9233877
QN,11433,177 STREET,11,C,99,0,40.6960954,-73.7748838
BK,11233,1708 ST MARKS AVENUE,10,X,750,0,40.6728978,-73.9101781
BK,11233,175 SUMPTER STREET,11,X,2500,0,40.6803590,-73.9187742
BX,10459,1222 SOUTHERN BOULEVARD,11,X,3150,0,40.8292007,-73.8915204
BX,10459,1101 KELLY STREET,10,X,3324,0,40.8261966,-73.8960564
BX,10456,1342 FULTON AVENUE,11,X,5200,0,40.8331791,-73.9022610
SI,10306, TARLTON STREET,11,C,1760,0,40.5518607,-74.1144273
SI,10306, STOBE AVENUE,11,X,336,0,40.5787075,-74.0933347
SI,10306, PROMENADE AVENUE,11,C,3200,0,40.5562800,-74.1142766
SI,10306,221 FOX LANE,11,C,3000,0,40.5545930,-74.1159722
SI,10312,124 ROLLING HILL GREEN,9,X,19018,400,40.5499972,-74.1923179
SI,10314,240 WOODWARD AVENUE,1,X,6630,2912,40.6049073,-74.1433612
SI,10314,46 BIRCHARD AVENUE,8,X,6000,10560,40.6028803,-74.1354126
SI,10314,44 ROOSEVELT AVENUE,1,X,2960,2400,40.6056441,-74.1332322
SI,10314,74 WELLBROOK AVENUE,8,X,2000,1320,40.6036349,-74.1308657
SI,10314,61 WELLBROOK AVENUE,8,X,20900,11060,40.6042694,-74.1304024
SI,10314,281 BRADLEY AVENUE,8,X,78960,47368,40.6044854,-74.1311807
SI,10314, BRADLEY AVENUE,10,X,4200,0,40.6050313,-74.1314447
SI,10309,840 STAFFORD AVENUE,8,X,5800,4105,40.5398149,-74.2060394
SI,10312,1101 WOODROW ROAD,8,X,120900,1560,40.5432734,-74.2013511
SI,10312,1109 WOODROW ROAD,1,X,5000,2000,40.5427513,-74.2016805
SI,10307,7770 AMBOY ROAD,1,X,2500,1216,40.5074473,-74.2542602
SI,10307,7768 AMBOY ROAD,1,X,2500,1216,40.5074420,-74.2541703
SI,10314,1852 VICTORY BOULEVARD,9,X,407500,336,40.6109697,-74.1253120
SI,10312,5501 AMBOY ROAD,1,X,13275,2184,40.5316223,-74.1930025
SI,10312,5475 AMBOY ROAD,8,X,43452,6276,40.5318757,-74.1924348
SI,10312,277 DARLINGTON AVENUE,1,X,10000,4400,40.5365131,-74.1948910
SI,10307,7392 AMBOY ROAD,11,X,5760,0,40.5100187,-74.2430534
SI,10307,23 SUMMIT STREET,8,X,21970,20300,40.5095190,-74.2431415
SI,10307,7516 AMBOY ROAD,8,X,17440,8460,40.5089744,-74.2462537
SI,10314,800 MANOR ROAD,4,X,75000,73126,40.6073259,-74.1214984
SI,10307,35 SWINNERTON STREET,11,X,5800,0,40.5078855,-74.2471452
SI,10307,184 CARTERET STREET,1,X,6750,3500,40.5039325,-74.2473751
SI,10309, POPLAR AVENUE,10,X,19000,0,40.5528797,-74.2138129
SI,10309, BARRY STREET,11,X,6612,0,40.5523198,-74.2138111
SI,10309,51 BARRY STREET,11,X,14427,0,40.5523440,-74.2140847
SI,10309, POPLAR AVENUE,10,X,11214,0,40.5531205,-74.2127198
SI,10309,16 POPLAR AVENUE,8,X,61642,1920,40.5527076,-74.2133878
SI,10309,2420 ARTHUR KILL ROAD,5,X,58397,23625,40.5547253,-74.2161795
SI,10307,431 SURF AVENUE,9,X,42000,0,40.5003548,-74.2375168
SI,10307,727 PAGE AVENUE,9,X,20600,6100,40.5063363,-74.2291845
SI,10307,750 PAGE AVENUE,1,X,63700,2752,40.5055910,-74.2299048
SI,10309,89 LUCILLE AVENUE,2,X,4000,3200,40.5488778,-74.2166968
SI,10307,8 COLITA COURT,11,M,10028,0,40.5021700,-74.2317520
SI,10314,53 DREYER AVENUE,8,X,4000,2130,40.6077306,-74.1506134
SI,10309, WIRT AVENUE,11,X,2400,0,40.5474119,-74.2197109
SI,10309,78 SELKIRK STREET,1,X,8000,4176,40.5493693,-74.2107143
SI,10314,101 WADE STREET,1,X,12000,2700,40.6160202,-74.1417318
SI,10314,85 DELMORE STREET,8,X,4480,2540,40.6152829,-74.1409378
SI,10309,1243 WOODROW ROAD,5,P,32693,15279,40.5420946,-74.2066869
SI,10314,84 OAKVILLE STREET,8,X,5400,4429,40.5987237,-74.1338954
SI,10314,15 UXBRIDGE STREET,8,X,38500,16280,40.6025536,-74.1400143
SI,10314, DREYER AVENUE,1,X,66538,0,40.6076458,-74.1483407
SI,10314, MCDIVITT AVENUE,11,X,3479,0,40.5898199,-74.1492193
SI,10314,911 ROCKLAND AVENUE,8,X,84900,22000,40.5897328,-74.1486646
SI,10314,795 ROCKLAND AVENUE,8,X,5000,2600,40.5888694,-74.1433196
SI,10314,2329 VICTORY BOULEVARD,8,X,69470,5776,40.6117079,-74.1419388
SI,10314,624 WILLOWBROOK ROAD,5,X,10100,2177,40.6096809,-74.1473332
SI,10314,2550 VICTORY BOULEVARD,5,P,36000,22000,40.6095947,-74.1482226
SI,10314,42 SUNSET AVENUE,8,X,100970,13640,40.5996577,-74.1332274
SI,10314,28 SUNSET AVENUE,8,X,25127,15471,40.5992555,-74.1320671
QN,11411,114-70 211 STREET,1,O,3000,1860,40.7007839,-73.7435598
