schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
THE PECK SLIP SCHOOL,40.708639,-74.001925,"1 PECK SLIP NEW YORK, NY 10038",NEW YORK,10038,16%,3%,13%,16%,59%
P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,40.78058,-73.94791,"323 E 91ST ST NEW YORK, NY 10128",NEW YORK,10128,15%,2%,19%,21%,59%
WEST END SECONDARY SCHOOL,40.772487,-73.988153,"227-243 W 61ST ST NEW YORK, NY 10023",NEW YORK,10023,4%,10%,18%,27%,63%
LINDEN TREE ELEMENTARY SCHOOL,40.838494,-73.853201,"1560 PURDY ST BRONX, NY 10462",BRONX,10462,16%,16%,64%,80%,3%
P.S. 372 -THE CHILDREN'S SCHOOL,40.67652,-73.985495,"512 CARROLL ST BROOKLYN, NY 11215",BROOKLYN,11215,5%,22%,24%,46%,47%
M.S. 839,40.647837,-73.973229,"713 CATON AVE BROOKLYN, NY 11218",BROOKLYN,11218,14%,14%,33%,47%,36%
P.S. 110,40.745554,-73.86677,"96-18 43RD AVE CORONA, NY 11368",CORONA,11368,5%,1%,92%,94%,1%
M.S. 358,40.708473,-73.797859,"88-06 164TH ST JAMAICA, NY 11432",JAMAICA,11432,23%,38%,32%,70%,2%
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,40.666256,-73.876405,"982 HEGEMAN AVE BROOKLYN, NY 11208",BROOKLYN,11208,1%,75%,23%,97%,0%
CITIZENS OF THE WORLD CHARTER SCHOOL 1 WILLIAMSBURG,40.719769,-73.947968,"424 LEONARD ST-3RD FL BROOKLYN, NY 11222",BROOKLYN,11222,2%,25%,63%,88%,9%
CITIZENS OF THE WORLD CHARTER SCHOOL NEW YORK 2 CROWN HEIGHTS,40.663936,-73.93606,"791 EMPIRE BLVD BROOKLYN, NY 11213",BROOKLYN,11213,0%,90%,6%,96%,1%
NEW AMERICAN ACADEMY CHARTER SCHOOL,40.648057,-73.922234,"5800 TILDEN AVE BROOKLYN, NY 11203",BROOKLYN,11203,0%,94%,6%,100%,0%
SUCCESS ACADEMY CROWN HEIGHTS (BROOKLYN 7),40.665905,-73.9492,"330 CROWN ST BROOKLYN, NY 11225",BROOKLYN,11225,1%,91%,7%,98%,1%
SUCCESS ACADEMY FORT GREENE (BROOKLYN 5),40.696738,-73.976039,"101 PARK AVE-3RD FL BROOKLYN, NY 11205",BROOKLYN,11205,1%,67%,24%,91%,6%
SUCCESS ACADEMY PROSPECT HEIGHTS (BROOKLYN 6),40.67349,-73.951131,"801 PARK PL-4TH FL BROOKLYN, NY 11216",BROOKLYN,11216,2%,89%,6%,95%,2%
