division,line,stopname,latitude,longitude
BMT,4th Av,Atlantic Av-Barclays Ctr,40.683905,-73.978879
BMT,4th Av,Union St,40.6771544,-73.9834296
BMT,4th Av,4 Av-9 St,40.670538,-73.988778
BMT,4th Av,Prospect Av,40.6652787,-73.9932544
BMT,4th Av,25 St,40.6605007,-73.998224
BMT,4th Av,36 St,40.65449,-74.004499
BMT,4th Av,45 St,40.6494326,-74.0097327
BMT,4th Av,53 St,40.6446672,-74.014688
BMT,4th Av,59 St,40.6406896,-74.0188637
BMT,4th Av,Bay Ridge Av,40.634827,-74.02358
BMT,4th Av,77 St,40.6295183,-74.025749
BMT,4th Av,86 St,40.6226535,-74.0285564
BMT,4th Av,Bay Ridge-95 St,40.616021,-74.031383
IND,63rd St,21 St-Queensbridge,40.7541656,-73.9425499
IND,63rd St,Roosevelt Island,40.7590185,-73.9534576
IND/BMT,63rd St,Lexington Av/63 St,40.7649678,-73.9666793
IND,6th Av - Culver,57 St,40.7634853,-73.9779774
IND,6th Av - Culver,47-50 Sts-Rockefeller Ctr,40.7580251,-73.9821103
IND,6th Av - Culver,42 St-Bryant Pk/5 Av,40.7537136,-73.985193
IND,6th Av - Culver,34 St-Herald Sq,40.74875,-73.9887643
IND,6th Av - Culver,34 St-Herald Square,40.748851,-73.988718
IND,6th Av - Culver,23 St,40.7429882,-73.9932331
IND,6th Av - Culver,14 St/6 Av,40.7374199,-73.9971973
IND,6th Av - Culver,Broadway-Lafayette St/Bleecker St,40.7252073,-73.9965618
IND,6th Av - Culver,Grand St,40.7183694,-73.9938821
IND,6th Av - Culver,2 Av,40.723682,-73.9916677
IND,6th Av - Culver,Delancey St-Essex St,40.7183827,-73.9884421
IND,6th Av - Culver,East Broadway,40.7142366,-73.9903537
IND,6th Av - Culver,York St,40.70138,-73.986655
IND,6th Av - Culver,Bergen St,40.6855861,-73.991461
IND,6th Av - Culver,Carroll St,40.6792701,-73.9957771
IND,6th Av - Culver,Smith-9 Sts,40.6746146,-73.9972884
IND,6th Av - Culver,7 Av,40.6667886,-73.9818356
IND,6th Av - Culver,15 St-Prospect Park,40.6594527,-73.9799593
IND,6th Av - Culver,Fort Hamilton Pkwy,40.6518513,-73.9760848
IND,6th Av - Culver,Church Av,40.6449233,-73.9800183
IND,6th Av - Culver,Ditmas Av,40.6371339,-73.9784986
IND,6th Av - Culver,18 Av,40.630531,-73.977251
IND,6th Av - Culver,Avenue I,40.6261773,-73.9764106
IND,6th Av - Culver,Bay Pkwy,40.620797,-73.975479
IND,6th Av - Culver,Avenue N,40.6161563,-73.9745128
IND,6th Av - Culver,Avenue P,40.608615,-73.973097
IND,6th Av - Culver,Kings Hwy,40.602197,-73.97264
IND,6th Av - Culver,Avenue U,40.5950561,-73.9736337
IND,6th Av - Culver,Avenue X,40.5905319,-73.9742703
IND,6th Av - Culver,Neptune Av,40.5809192,-73.9746771
IND,8th Av - Fulton St,Inwood-207 St,40.8678352,-73.9214448
IND,8th Av - Fulton St,Dyckman St,40.865367,-73.9280766
IND,8th Av - Fulton St,190 St,40.858902,-73.9342217
IND,8th Av - Fulton St,181 St,40.8508848,-73.9385335
IND,8th Av - Fulton St,175 St,40.8463795,-73.9402964
IND,8th Av - Fulton St,168 St-Washington Hts,40.8418738,-73.939572
IND,8th Av - Fulton St,163 St-Amsterdam Av,40.835192,-73.940146
IND,8th Av - Fulton St,155 St,40.830875,-73.9416528
IND,8th Av - Fulton St,135 St,40.8171366,-73.948229
IND,8th Av - Fulton St,125 St,40.8106533,-73.9528842
IND,8th Av - Fulton St,116 St,40.80433,-73.9556383
IND,8th Av - Fulton St,Cathedral Pkwy (110 St),40.8000144,-73.9588852
IND,8th Av - Fulton St,103 St,40.7962977,-73.9616715
IND,8th Av - Fulton St,96 St,40.7916384,-73.9649398
IND,8th Av - Fulton St,81 St-Museum of Natural History,40.7803452,-73.9731888
IND,8th Av - Fulton St,72 St,40.7749488,-73.9771817
IND,8th Av - Fulton St,59 St-Columbus Circle,40.7667708,-73.9833664
IND,8th Av - Fulton St,50 St,40.7617615,-73.9869788
IND,8th Av - Fulton St,Times Sq-42 St/Port Authority Bus Terminal,40.7559971,-73.9910421
IND,8th Av - Fulton St,34 St-Penn Station,40.7517496,-73.9942753
IND,8th Av - Fulton St,14 St/8 Av,40.7399648,-74.0026775
IND,8th Av - Fulton St,Spring St,40.7256308,-74.0043768
IND,8th Av - Fulton St,Canal St,40.7216563,-74.0056651
IND,8th Av - Fulton St,Chambers St/WTC/Park Place/Cortlandt St,40.7137352,-74.0090664
IND,8th Av - Fulton St,High St,40.699405,-73.991413
IND,8th Av - Fulton St,Jay St-MetroTech,40.6924743,-73.9875859
IND,8th Av - Fulton St,Hoyt-Schermerhorn Sts,40.6890314,-73.9858587
IND,8th Av - Fulton St,Lafayette Av,40.686553,-73.974606
IND,8th Av - Fulton St,Clinton-Washington Avs,40.6836751,-73.9670602
IND,8th Av - Fulton St,Franklin Av,40.681256,-73.95559
IND,8th Av - Fulton St,Nostrand Av,40.6805772,-73.9497346
IND,8th Av - Fulton St,Kingston-Throop Avs,40.6796847,-73.94135
IND,8th Av - Fulton St,Utica Av,40.6795584,-73.932104
IND,8th Av - Fulton St,Ralph Av,40.679164,-73.92187
IND,8th Av - Fulton St,Rockaway Av,40.6786088,-73.9137396
IND,8th Av - Fulton St,Broadway Junction,40.6783526,-73.9039332
IND,8th Av - Fulton St,Liberty Av,40.6744501,-73.896778
IND,8th Av - Fulton St,Van Siclen Av,40.6727846,-73.8905905
IND,8th Av - Fulton St,Shepherd Av,40.6742442,-73.8809291
IND,8th Av - Fulton St,Euclid Av,40.6752842,-73.8721143
IND,8th Av - Fulton St; 6th Av - Culver,W 4 St-Wash Sq,40.7310974,-74.0015985
IND,8th Av - Fulton St; Concourse,145 St,40.8239303,-73.9450243
BMT,Astoria,Astoria-Ditmars Blvd,40.7749371,-73.9123447
BMT,Astoria,Astoria Blvd,40.7703305,-73.9179733
BMT,Astoria,30 Av,40.766787,-73.921629
BMT,Astoria,Broadway,40.7618934,-73.9256167
BMT,Astoria,36 Av,40.7565079,-73.9299782
BMT,Astoria,39 Av-Dutch Kills,40.7525155,-73.9329258
BMT,Astoria,Lexington Av/59 St,40.7620908,-73.9663577
BMT,Astoria,5 Av/59 St,40.7651969,-73.9747154
BMT,Broadway,City Hall,40.7131236,-74.0070415
BMT,Broadway,Rector St,40.7063426,-74.014018
BMT,Broadway,Whitehall St-South Ferry,40.7041502,-74.0133314
BMT,Broadway,Borough Hall/Court St,40.6944821,-73.9928266
IRT,Broadway - 7Av,Van Cortlandt Park-242 St,40.889783,-73.898432
IRT,Broadway - 7Av,238 St,40.884813,-73.900923
IRT,Broadway - 7Av,231 St,40.878775,-73.905024
IRT,Broadway - 7Av,Marble Hill-225 St,40.8744658,-73.910563
IRT,Broadway - 7Av,215 St,40.869428,-73.9154543
IRT,Broadway - 7Av,207 St,40.8642822,-73.9192293
IRT,Broadway - 7Av,191 St,40.856413,-73.932605
IRT,Broadway - 7Av,157 St,40.8342854,-73.9451903
IRT,Broadway - 7Av,137 St-City College,40.8213608,-73.9544144
IRT,Broadway - 7Av,116 St-Columbia University,40.8075562,-73.9640135
IRT,Broadway - 7Av,79 St,40.7837622,-73.9802909
IRT,Broadway - 7Av,66 St-Lincoln Center,40.7735889,-73.9820215
IRT,Broadway - 7Av,Times Sq-42 St,40.755862,-73.9869267
IRT,Broadway - 7Av,28 St,40.746787,-73.993955
IRT,Broadway - 7Av,18 St,40.7410753,-73.9980934
IRT,Broadway - 7Av,Christopher St-Stonewall,40.7335094,-74.0031819
IRT,Broadway - 7Av,Houston St,40.7278265,-74.0056485
IRT,Broadway - 7Av,Franklin St,40.7189487,-74.0071251
IRT,Broadway - 7Av,Chambers St,40.7155528,-74.0094938
IRT,Broadway - 7Av,WTC Cortlandt,40.7110837,-74.0124731
BMT,Broadway - Brighton,57 St-7 Av,40.7642779,-73.9812874
BMT,Broadway - Brighton,49 St,40.7594831,-73.9848474
BMT,Broadway - Brighton,14 St-Union Sq,40.735276,-73.9910998
BMT,Broadway - Brighton,8 St-NYU,40.729778,-73.993262
BMT,Broadway - Brighton,Prince St,40.7242611,-73.9979364
BMT,Broadway - Brighton,DeKalb Av,40.6912625,-73.9823804
